userId,total_billable_hours
820,58.00
787,697.50
1621,417.00
1625,1400.00
1639,1307.00
1656,735.00
1509,758.00
1008,776.00
1694,914.00
1715,862.00
1723,545.00
1672,100.00
1691,668.50
925,1529.50
1595,1560.00
913,701.00
884,80.00
806,320.00
1599,128.00
1619,1464.00
726,992.00
76,1373.00
1624,321.50
950,874.03
88,722.75
1597,752.00
1649,256.50
921,758.00
1651,1045.00
1652,1252.00
1643,536.00
1655,1192.00
1650,80.00
1663,1000.00
1697,1008.00
1666,760.00
1685,928.00
79,908.00
1692,788.00
233,787.50
1724,568.00
1790,451.00
906,508.00
1857,120.00
1503,1116.00
1612,1366.00
202,509.00
295,1200.00
991,1214.00
1602,437.00
1641,1248.00
1646,1240.00
811,992.00
896,528.00
900,947.50
1669,1153.00
1637,140.00
1673,775.00
1507,426.00
959,1032.00
533,713.00
249,860.00
942,724.50
1648,797.00
1680,556.75
1702,318.00
1681,619.00
1662,763.00
1674,792.00
720,446.00
220,616.50
944,647.00
1645,547.00
1725,298.00
1732,637.00
631,632.00
1699,490.00
1729,379.00
1023,568.00
908,520.00
1010,435.50
1594,184.00
1730,161.00
245,282.00
118,352.00
185,994.00
495,765.50
301,984.00
367,945.00
99,1015.00
544,145.50
137,459.00
156,835.00
141,1033.00
89,1040.00
261,1008.00
763,971.00
1632,903.00
184,944.00
128,105.00
370,565.00
1686,968.00
1682,880.00
707,793.50
1005,1028.00
1701,734.50
1718,857.00
1687,832.00
1727,256.00
1741,582.50
1708,568.00
1780,552.00
1803,216.00
166,438.00
1802,528.00
1792,376.00
1631,266.00
1665,357.00
1837,322.50
1707,888.00
1712,774.00
1653,472.00
1716,468.00
1704,720.00
302,336.00
1744,616.00
1797,576.00
1791,529.00
1817,327.25
1832,336.00
1844,296.00
1850,200.00
1629,520.00
1710,627.00
719,672.00
912,656.00
917,584.00
715,614.00
1734,458.50
1789,560.00
500,488.00
1782,480.00
1806,408.00
1709,280.00
1833,3.00
1821,157.00
1842,136.00
1830,292.00
1610,538.00
1608,520.00
1581,636.00
161,502.50
610,536.00
1733,480.00
1793,577.50
1794,560.00
1798,504.00
1796,544.00
1795,560.00
1676,496.00
1807,437.00
1805,488.00
1742,384.00
1815,452.00
1813,488.00
1785,528.00
1819,442.00
1812,404.00
1799,416.00
1820,80.00
633,236.00
1836,280.00
632,152.00
1845,233.00
1846,212.00
520,428.00
1579,530.00
1787,449.00
677,267.00
1636,272.00
119,377.00
711,504.00
1611,384.00
1664,217.25
809,492.00
1804,474.00
702,140.00
694,72.00
1828,264.00
1840,252.00
1839,336.00
1822,247.00
1781,151.50
1036,234.00
1740,282.00
1856,150.00
1847,208.00
1835,408.00
1811,248.00
739,50.00
1843,64.00
1849,51.00
1862,56.00
3202,278.00
3195,360.00
3219,136.00
3206,4271.00
3217,45.00
3212,296.00
3211,191.00
3229,189.00
3236,100.00
3205,24.00
3239,144.00
